begin timestamp : 1690256711.6633909; tag : preprocess_data; duration : 0.9218971729278564; nvidia_gpu_0 : 9124
begin timestamp : 1690256712.5862353; tag : inference; duration : 5.464956045150757; nvidia_gpu_0 : 94006
begin timestamp : 1690256724.9991307; tag : preprocess_data; duration : 0.7887721061706543; nvidia_gpu_0 : 7028
begin timestamp : 1690256725.7889426; tag : inference; duration : 3.534562587738037; nvidia_gpu_0 : 61258
begin timestamp : 1690256736.2306342; tag : preprocess_data; duration : 0.7791931629180908; nvidia_gpu_0 : 7088
begin timestamp : 1690256737.0110195; tag : inference; duration : 2.654607057571411; nvidia_gpu_0 : 45259
begin timestamp : 1690256746.5025442; tag : preprocess_data; duration : 0.6241476535797119; nvidia_gpu_0 : 5605
begin timestamp : 1690256747.1277134; tag : inference; duration : 2.3438587188720703; nvidia_gpu_0 : 40140
begin timestamp : 1690256756.2898927; tag : preprocess_data; duration : 0.6423168182373047; nvidia_gpu_0 : 6011
begin timestamp : 1690256756.9333205; tag : inference; duration : 2.3517963886260986; nvidia_gpu_0 : 38520
begin timestamp : 1690256766.1396308; tag : preprocess_data; duration : 0.6737442016601562; nvidia_gpu_0 : 6803
begin timestamp : 1690256766.8144412; tag : inference; duration : 2.349045753479004; nvidia_gpu_0 : 39596
begin timestamp : 1690256775.9823067; tag : preprocess_data; duration : 0.6406869888305664; nvidia_gpu_0 : 5658
begin timestamp : 1690256776.62412; tag : inference; duration : 2.328280448913574; nvidia_gpu_0 : 39759
begin timestamp : 1690256785.7007763; tag : preprocess_data; duration : 0.7078354358673096; nvidia_gpu_0 : 6714
begin timestamp : 1690256786.4095058; tag : inference; duration : 2.421564817428589; nvidia_gpu_0 : 40723
begin timestamp : 1690256795.594554; tag : preprocess_data; duration : 0.6686766147613525; nvidia_gpu_0 : 5985
begin timestamp : 1690256796.2643075; tag : inference; duration : 2.332935094833374; nvidia_gpu_0 : 39887
begin timestamp : 1690256805.3240883; tag : preprocess_data; duration : 0.6302978992462158; nvidia_gpu_0 : 5976
begin timestamp : 1690256805.9554965; tag : inference; duration : 2.3055460453033447; nvidia_gpu_0 : 38849
begin timestamp : 1690268393.0624294; tag : preprocess_data; duration : 0.6463882923126221; nvidia_gpu_0 : 5984
begin timestamp : 1690268393.7136886; tag : inference; duration : 2.4212305545806885; nvidia_gpu_0 : 41133
begin timestamp : 1690268402.8738282; tag : preprocess_data; duration : 0.6421918869018555; nvidia_gpu_0 : 6072
begin timestamp : 1690268403.516926; tag : inference; duration : 2.4434080123901367; nvidia_gpu_0 : 41077
begin timestamp : 1690268412.800485; tag : preprocess_data; duration : 0.732337236404419; nvidia_gpu_0 : 7035
begin timestamp : 1690268413.5338142; tag : inference; duration : 2.36837100982666; nvidia_gpu_0 : 39443
begin timestamp : 1690268422.6409178; tag : preprocess_data; duration : 0.6464717388153076; nvidia_gpu_0 : 5857
begin timestamp : 1690268423.2887259; tag : inference; duration : 2.420285701751709; nvidia_gpu_0 : 40556
begin timestamp : 1690268432.4719837; tag : preprocess_data; duration : 0.6244423389434814; nvidia_gpu_0 : 5821
begin timestamp : 1690268433.0975409; tag : inference; duration : 2.3719818592071533; nvidia_gpu_0 : 40840
