begin timestamp : 1690257160.2554507; tag : preprocess_data; duration : 1.49208664894104; nvidia_gpu_0 : 14700
begin timestamp : 1690257161.7485354; tag : inference; duration : 11.601385116577148; nvidia_gpu_0 : 184212
begin timestamp : 1690257180.0917943; tag : preprocess_data; duration : 1.2488124370574951; nvidia_gpu_0 : 12886
begin timestamp : 1690257181.3415027; tag : inference; duration : 11.547696352005005; nvidia_gpu_0 : 187555
begin timestamp : 1690257199.652517; tag : preprocess_data; duration : 1.2726781368255615; nvidia_gpu_0 : 12785
begin timestamp : 1690257200.92623; tag : inference; duration : 11.004312753677368; nvidia_gpu_0 : 171944
begin timestamp : 1690257218.8447423; tag : preprocess_data; duration : 1.512033224105835; nvidia_gpu_0 : 15220
begin timestamp : 1690257220.3576968; tag : inference; duration : 11.027766466140747; nvidia_gpu_0 : 177467
begin timestamp : 1690257238.149848; tag : preprocess_data; duration : 1.2474234104156494; nvidia_gpu_0 : 12752
begin timestamp : 1690257239.3982038; tag : inference; duration : 11.042480945587158; nvidia_gpu_0 : 175399
begin timestamp : 1690257257.1740384; tag : preprocess_data; duration : 1.2411410808563232; nvidia_gpu_0 : 12161
begin timestamp : 1690257258.4162765; tag : inference; duration : 11.459112882614136; nvidia_gpu_0 : 179052
begin timestamp : 1690257276.7524104; tag : preprocess_data; duration : 1.2595555782318115; nvidia_gpu_0 : 12911
begin timestamp : 1690257278.012913; tag : inference; duration : 11.435795783996582; nvidia_gpu_0 : 180141
begin timestamp : 1690257296.2062106; tag : preprocess_data; duration : 1.25126314163208; nvidia_gpu_0 : 11856
begin timestamp : 1690257297.4585924; tag : inference; duration : 9.84821605682373; nvidia_gpu_0 : 172273
begin timestamp : 1690257314.2656999; tag : preprocess_data; duration : 1.2964091300964355; nvidia_gpu_0 : 12830
begin timestamp : 1690257315.563156; tag : inference; duration : 11.596055746078491; nvidia_gpu_0 : 174507
begin timestamp : 1690257333.984829; tag : preprocess_data; duration : 1.2666306495666504; nvidia_gpu_0 : 12135
begin timestamp : 1690257335.2525902; tag : inference; duration : 9.59416651725769; nvidia_gpu_0 : 161872
begin timestamp : 1690268655.881755; tag : preprocess_data; duration : 1.2573847770690918; nvidia_gpu_0 : 12813
begin timestamp : 1690268657.1402354; tag : inference; duration : 11.538297891616821; nvidia_gpu_0 : 180743
begin timestamp : 1690268675.4507282; tag : preprocess_data; duration : 1.2866227626800537; nvidia_gpu_0 : 12782
begin timestamp : 1690268676.7385528; tag : inference; duration : 11.357446670532227; nvidia_gpu_0 : 179597
begin timestamp : 1690268694.8649821; tag : preprocess_data; duration : 1.2517285346984863; nvidia_gpu_0 : 12105
begin timestamp : 1690268696.1179063; tag : inference; duration : 11.611711025238037; nvidia_gpu_0 : 190007
